time,current,voltage
24-05-12 08:00.06,0.384,2.944
24-05-12 08:00.21,0.387,2.944
24-05-12 08:00.36,0.377,2.944
24-05-12 08:00.51,0.383,2.944
24-05-12 08:01.06,0.377,2.944
24-05-12 08:01.21,0.39,2.944
24-05-12 08:01.36,0.392,2.944
24-05-12 08:01.51,0.379,2.944
24-05-12 08:02.06,0.382,2.944
24-05-12 08:02.21,0.385,2.943
24-05-12 08:02.36,0.378,2.944
24-05-12 08:02.51,0.394,2.943
24-05-12 08:03.06,0.381,2.943
24-05-12 08:03.21,0.378,2.943
24-05-12 08:03.36,0.373,2.943
24-05-12 08:03.51,0.392,2.943
24-05-12 08:04.06,0.377,2.943
24-05-12 08:04.21,0.381,2.943
24-05-12 08:04.36,0.387,2.943
24-05-12 08:04.51,0.373,2.942
24-05-12 08:05.06,0.386,2.942
24-05-12 08:05.21,0.379,2.941
24-05-12 08:05.36,0.376,2.94
24-05-12 08:05.51,0.381,2.939
24-05-12 08:06.06,0.392,2.938
24-05-12 08:06.21,0.388,2.936
24-05-12 08:06.36,0.396,2.936
24-05-12 08:06.51,0.394,2.935
24-05-12 08:07.06,0.416,2.934
24-05-12 08:07.21,0.399,2.934
24-05-12 08:07.36,0.396,2.934
24-05-12 08:07.51,0.404,2.933
24-05-12 08:08.06,0.398,2.933
24-05-12 08:08.21,0.381,2.933
24-05-12 08:08.36,0.374,2.933
24-05-12 08:08.51,0.376,2.933
24-05-12 08:09.06,0.379,2.933
24-05-12 08:09.21,0.391,2.934
24-05-12 08:09.36,0.375,2.934
24-05-12 08:09.51,0.391,2.935
24-05-12 08:10.06,0.385,2.936
24-05-12 08:10.21,0.364,2.937
24-05-12 08:10.36,0.373,2.937
24-05-12 08:10.51,0.377,2.938
24-05-12 08:11.06,0.387,2.939
24-05-12 08:11.20,0.377,2.94
24-05-12 08:11.35,0.394,2.94
24-05-12 08:11.50,0.373,2.941
24-05-12 08:12.05,0.378,2.942
24-05-12 08:12.20,0.398,2.942
24-05-12 08:12.35,0.394,2.943
24-05-12 08:12.50,0.379,2.944
24-05-12 08:13.05,0.389,2.944
24-05-12 08:13.20,0.388,2.944
24-05-12 08:13.35,0.383,2.945
24-05-12 08:13.50,0.398,2.945
24-05-12 08:14.05,0.381,2.946
24-05-12 08:14.20,0.381,2.946
24-05-12 08:14.35,0.381,2.946
24-05-12 08:14.50,0.389,2.946
24-05-12 08:15.05,0.384,2.946
24-05-12 08:15.20,0.391,2.946
24-05-12 08:15.35,0.371,2.946
24-05-12 08:15.50,0.382,2.946
24-05-12 08:16.05,0.374,2.946
24-05-12 08:16.20,0.386,2.945
24-05-12 08:16.35,0.386,2.945
24-05-12 08:16.50,0.394,2.944
24-05-12 08:17.05,0.397,2.944
24-05-12 08:17.20,0.386,2.943
24-05-12 08:17.35,0.393,2.942
24-05-12 08:17.50,0.396,2.941
24-05-12 08:18.05,0.394,2.94
24-05-12 08:18.20,0.379,2.939
24-05-12 08:18.35,0.374,2.938
24-05-12 08:18.50,0.387,2.937
24-05-12 08:19.05,0.391,2.936
24-05-12 08:19.20,0.372,2.935
24-05-12 08:19.35,0.394,2.934
24-05-12 08:19.50,0.384,2.933
24-05-12 08:20.05,0.374,2.932
24-05-12 08:20.20,0.391,2.932
24-05-12 08:20.35,0.383,2.93
24-05-12 08:20.50,0.392,2.93
24-05-12 08:21.05,0.389,2.928
24-05-12 08:21.20,0.379,2.927
24-05-12 08:21.35,0.386,2.926
24-05-12 08:21.50,0.38,2.924
24-05-12 08:22.05,0.381,2.923
24-05-12 08:22.20,0.375,2.922
24-05-12 08:22.35,0.385,2.921
24-05-12 08:22.50,0.397,2.92
24-05-12 08:23.05,0.373,2.919
24-05-12 08:23.20,0.377,2.918
24-05-12 08:23.35,0.386,2.916
24-05-12 08:23.50,0.404,2.915
24-05-12 08:24.05,0.388,2.914
24-05-12 08:24.20,0.373,2.912
24-05-12 08:24.35,0.396,2.911
24-05-12 08:24.50,0.372,2.91
24-05-12 08:25.05,0.402,2.908
24-05-12 08:25.20,0.386,2.907
24-05-12 08:25.35,0.383,2.906
24-05-12 08:25.50,0.389,2.905
24-05-12 08:26.05,0.403,2.903
24-05-12 08:26.20,0.385,2.902
24-05-12 08:26.35,0.398,2.901
