time,zone1,zone2,zone3,zone4,moisture,pop,water
24-05-20 15:58.03,286,397,342,336,19,0,1
24-05-20 15:58.18,287,397,350,336,20,0,1
24-05-20 15:58.34,287,394,351,336,20,0,1
24-05-20 15:58.49,287,393,351,336,20,0,1
24-05-20 15:59.05,287,393,351,336,20,0,1
24-05-20 15:59.20,287,390,351,336,20,0,1
24-05-20 15:59.36,287,389,355,336,20,0,1
24-05-20 15:59.51,293,388,350,336,20,0,1
24-05-20 16:00.07,287,388,350,341,20,0,1
24-05-20 16:00.22,287,388,350,336,19,0,1
24-05-20 16:00.38,287,387,350,341,20,0,1
24-05-20 16:00.53,287,390,351,336,20,0,1
24-05-20 16:01.09,287,386,350,336,19,0,1
24-05-20 16:01.24,287,386,350,341,20,0,1
24-05-20 16:01.40,329,697,552,447,68,0,0
24-05-20 16:01.55,317,671,524,457,65,0,0
24-05-20 16:02.11,351,704,547,477,73,0,0
24-05-20 16:02.26,342,704,545,476,72,0,0
24-05-20 16:02.42,330,678,523,467,67,0,0
24-05-20 16:02.57,330,659,515,460,64,0,0
24-05-20 16:03.13,330,658,505,461,64,0,0
24-05-20 16:03.28,324,651,503,456,62,0,0
24-05-20 16:03.44,323,643,501,460,62,0,0
24-05-20 16:03.59,323,639,499,455,61,0,0
24-05-20 16:04.15,323,634,497,454,61,0,0
24-05-20 16:04.47,318,636,495,454,60,0,0
24-05-20 16:05.02,317,629,494,453,60,0,0
24-05-20 16:05.18,317,626,494,453,59,0,0
24-05-20 16:05.33,317,626,493,458,60,0,0
24-05-20 16:05.49,316,625,492,452,59,0,0
24-05-20 16:06.21,317,624,492,451,59,0,0
24-05-20 16:06.36,316,623,491,452,59,0,0
24-05-20 16:06.52,316,624,491,452,59,0,0
24-05-20 16:07.07,317,623,490,452,59,0,0
24-05-20 16:07.23,316,623,490,452,59,0,0
24-05-20 16:07.38,316,622,490,452,59,0,0
24-05-20 16:07.54,316,623,493,452,59,0,0
24-05-20 16:08.09,316,622,487,452,58,0,0
24-05-20 16:08.25,317,622,488,453,59,0,0
24-05-20 16:08.40,317,622,487,453,59,0,0
24-05-20 16:08.56,316,621,487,452,58,0,0
24-05-20 16:09.11,316,622,487,456,59,0,0
24-05-20 16:09.27,316,622,487,453,59,0,0
24-05-20 16:09.42,322,621,487,453,59,0,0
24-05-20 16:09.58,317,622,488,453,59,0,0
24-05-20 16:10.13,316,625,488,453,59,0,0
24-05-20 16:10.29,317,622,488,457,59,0,0
24-05-20 16:10.44,316,622,488,453,59,0,0
24-05-20 16:11.00,316,622,488,454,59,0,0
24-05-20 16:11.15,322,622,488,454,59,0,0
24-05-20 16:11.31,316,623,488,454,59,0,0
24-05-20 16:11.46,316,623,488,454,59,0,0
24-05-20 16:12.02,316,628,489,455,59,0,0
24-05-20 16:12.17,316,623,488,454,59,0,0
24-05-20 16:12.33,316,624,488,454,59,0,0
24-05-20 16:12.48,317,624,492,455,59,0,0
24-05-20 16:13.04,317,625,489,455,59,0,0
24-05-20 16:13.19,316,625,489,455,59,0,0
